TIMESTAMP,PTemp_C_Max_Aasu,SlrW_Avg_Aasu,SlrMJ_Tot_Aasu,RH_Aasu,PTemp_C_Max_Poloa,AirTF_Avg_Poloa,SlrW_Avg_Poloa,SlrMJ_Tot_Poloa,RH_Poloa,Rain_in_Tot_Poloa,PTemp_C_Max_Vaipito,AirTF_Avg_Vaipito,SlrW_Avg_Vaipito,SlrMJ_Tot_Vaipito,RH_Vaipito,Rain_in_Tot_Vaipito,weighted_RH_Poloa,weighted_RH_Vaipito,weighted_PTemp_C_Max_Poloa,weighted_PTemp_C_Max_Vaipito,weighted_SlrW_Avg_Poloa,weighted_SlrW_Avg_Vaipito,weighted_SlrMJ_Tot_Poloa,weighted_SlrMJ_Tot_Vaipito,weighted_distance_to_Aasu_Poloa,weighted_distance_to_Aasu_Vaipito,weighted_AirTF_Avg_Poloa,weighted_AirTF_Avg_Vaipito,weighted_Rain_in_Tot_Poloa,weighted_Rain_in_Tot_Vaipito,wind_direction_sin_weighted_0,wind_direction_cos_weighted_0,wind_speed_weighted_0,air_temp_weighted_0,relative_humidity_weighted_0,synoptic_elevation_0,wind_direction_sin_weighted_1,wind_direction_cos_weighted_1,wind_speed_weighted_1,air_temp_weighted_1,relative_humidity_weighted_1,synoptic_elevation_1
2019-06-17 11:15:00,32.33,513.5,0.4621513,97.9,32.12,28.94444444,702.4,0.547863,89.1,0.0,37.45,29.11111111,703.4,0.6330517,86.0,0.0,2.070802801943772,1.6249200859202677,0.7465116273673844,0.7075960141594654,16.324712548656624,13.290334749259491,0.012733066615951971,0.01196114445065083,0.1524510833513143,0.13745697234671272,0.6727074820096277,0.5500375484429727,0.0,0.0,0.0186052358502262,-0.010741737926464568,0.11042506588405579,0.588405549266913,1.6744403976553037,9.0,0.008811429317782065,-0.022690115588139173,0.03228097626936124,0.6355426255918586,2.4340966127608525,480.0
2019-06-17 11:30:00,33.94,575.6,0.51807,98.0,33.9,28.94444444,622.3,0.5600884,86.6,3.302,37.31,28.66666667,262.5,0.2362493,90.7,0.0,2.0126994685558994,1.7137238580577707,0.7878812007395495,0.7049507954149441,14.463081746909193,4.959785145977561,0.013017201212752011,0.004463793405286082,0.1524510833513143,0.13745697234671272,0.6727074820096277,0.5416400287030706,0.07674288273870185,0.0,0.0186052358502262,-0.010741737926464568,0.11042506588405579,0.5883551973703828,1.6744167367616176,9.0,0.008723022121102673,-0.02272424953876671,0.03261689461099543,0.6355426255918586,2.4340966127608525,480.0
2019-06-17 11:45:00,35.19,550.9,0.4958184,94.3,34.59,29.22222222,785.2,0.7066366,85.6,0.0,35.55,27.05555556,153.7,0.1383627,93.6,0.254,1.9894581352007503,1.7685176749085703,0.8039177207546024,0.6716966169123897,18.24909495046296,2.9040722930923852,0.01642317678154905,0.0026142829113041887,0.1524510833513143,0.13745697234671272,0.6791634079932609,0.511199019362509,0.0,0.004799182579345907,0.0186052358502262,-0.010741737926464568,0.11042506588405579,0.5886472383702585,1.6744221079772974,9.0,0.008065411515631352,-0.022965882720002443,0.03532526640685179,0.6355426255918586,2.4340966127608525,480.0
2019-06-17 12:00:00,36.16,559.5,0.503529,94.9,34.88,29.11111111,361.6,0.3254382,91.1,0.0,35.32,27.5,583.2,0.5249093,90.2,0.0,2.1172854686540696,1.7042766482559086,0.8106577074275956,0.6673509004035332,8.404066141221863,11.019225512891863,0.007563617692699637,0.009917856568097065,0.1524510833513143,0.13745697234671272,0.6765810376462903,0.5195965391024111,0.0,0.0,0.0186052358502262,-0.010741737926464568,0.11042506588405579,0.5891843252665817,1.6791197239853637,9.0,0.007176740481211261,-0.023258912874223703,0.039852843075017144,0.6355426255918586,2.4340966127608525,480.0
2019-06-17 12:15:00,36.14,309.4,0.278467,93.8,33.42,27.61111111,464.0,0.417623,85.6,0.0,36.43,28.16666667,703.4,0.6330882,80.8,0.0,1.9894581352007503,1.5266691039809026,0.7767253607290782,0.6883237061636669,10.783978676789115,13.290334749259491,0.009706115359777372,0.011961834096966367,0.1524510833513143,0.13745697234671272,0.6417190376135669,0.5321928189012086,0.0,0.0,0.0186052358502262,-0.010741737926464568,0.11042506588405579,0.589721412162905,1.6894765852847962,9.0,0.00651795547362851,-0.023452055101188505,0.043500804200527605,0.6355426255918586,2.4340966127608525,480.0
2019-06-17 12:30:00,35.67,199.8,0.1798519,99.1,34.46,29.11111111,834.0,0.7506145,82.0,0.0,37.43,29.0,681.1,0.6130093,85.1,0.0,1.9057893351222144,1.6079151082769159,0.800896347418433,0.7072181257673908,19.38327201819423,12.868989192096446,0.017445281815708456,0.011582454935185152,0.1524510833513143,0.13745697234671272,0.6765810376462903,0.5479381685079973,0.0,0.0,0.0186052358502262,-0.010741737926464568,0.11042506588405579,0.5902584990592282,1.6999865505479013,9.0,0.006299905610020448,-0.023511567819484488,0.043570329368419265,0.6355426255918586,2.4340966127608525,480.0
2019-06-17 12:45:00,34.16,410.8,0.3697235,95.8,35.33,29.72222222,779.3,0.7013503,81.8,0.0,37.01,28.38888889,404.1,0.3636882,89.9,0.254,1.9011410684511845,1.6986083223747914,0.8211163074374125,0.6992824695338268,18.11197108366758,7.635234961864886,0.016300316121033727,0.006871677455723111,0.1524510833513143,0.13745697234671272,0.6907840746708354,0.5363915787711596,0.0,0.004799182579345907,0.0186052358502262,-0.010741737926464568,0.11042506588405579,0.5907955859555514,1.705143478446986,9.0,0.005856066659447839,-0.02362602622756288,0.04089317239378633,0.6355426255918586,2.4340966127608525,480.0
2019-06-17 13:00:00,34.25,792.7,0.7133955,96.1,36.32,29.66666667,727.1,0.6544095,80.8,0.0,35.6,26.38888889,148.5,0.1336078,93.9,1.016,1.8778997350960356,1.7741860007896877,0.8441252274590101,0.672641337892576,16.898773482528807,2.80582131115302,0.01520934934027635,0.002524441835530441,0.1524510833513143,0.13745697234671272,0.6894928896135568,0.4986027395637116,0.0,0.01919673031738363,0.018912304663872243,-0.010191391809967164,0.11042506588405579,0.5913326728518746,1.6947669711517774,9.0,0.004674767364250626,-0.02388784590781519,0.03813775748885183,0.6355426255918586,2.4340966127608525,480.0
2019-06-17 13:15:00,35.62,670.9,0.6038188,94.2,36.8,28.88888889,349.9,0.3148906,89.2,0.0,34.27,26.88888889,561.3,0.505207,94.5,0.0,2.0731269352792867,1.7855226525519219,0.8552810674694815,0.647511759819623,8.132142540966619,10.605437723570304,0.007318477405002868,0.009545593044738612,0.1524510833513143,0.13745697234671272,0.6714162969523491,0.5080499493655736,0.0,0.0,0.019527299649059436,-0.008956802059844393,0.11042506588405579,0.5918697597481979,1.670991419278541,9.0,0.003300776255684653,-0.02411612547934046,0.03536026983434507,0.6355426255918586,2.4340966127608525,480.0
2019-06-17 13:30:00,36.26,614.0,0.5525929,93.4,33.76,27.27777778,313.9,0.2824732,91.0,0.0,35.4,28.0,739.7,0.6657577,88.1,0.0,2.114961335318555,1.664598367088088,0.7846274140698287,0.6688624539718311,7.2954545401812565,13.976202180874674,0.0065650538050956615,0.012579105338210229,0.1524510833513143,0.13745697234671272,0.633971926572655,0.5290437489042732,0.0,0.0,0.02004020610513076,-0.00774143875434466,0.11042506588405579,0.5924068466445211,1.6467828641693896,9.0,0.0025443237837689315,-0.024207623768324173,0.03261689461099543,0.6355426255918586,2.4340966127608525,480.0
